burst,t_ref_s,latency_ms,corr_peak,quality_db,kept
1,1.5842,79.172,0.9937,34.95,1
2,3.3495,68.630,0.9986,35.00,1
3,5.1255,68.574,0.9972,34.46,1
4,6.8908,68.450,0.9962,35.02,1
5,8.6242,68.508,0.9956,35.09,1
6,10.3895,68.493,0.9952,36.01,1
7,12.1762,68.374,0.9976,34.92,1
8,13.9519,271.051,0.9387,1.84,0
9,17.4935,127.946,0.9987,35.25,1
10,19.2482,120.501,0.9957,34.97,1
11,21.0135,110.425,0.9978,34.67,1
12,22.7895,89.155,0.9945,35.26,1
13,24.5655,141.350,0.9973,34.69,1
14,26.3308,211.936,0.9336,11.80,1
15,28.1068,110.397,0.9971,34.53,1
16,29.8722,118.663,0.9981,35.34,1
17,31.6482,108.744,0.9957,34.85,1
18,33.4135,94.045,0.9978,35.32,1
19,35.1682,94.152,0.9955,35.90,1
20,36.9442,93.964,0.9988,35.07,1
21,38.6988,83.380,0.9978,35.17,1
22,40.4642,94.039,0.9986,35.49,1
23,42.2402,94.053,0.9964,36.43,1
24,44.0162,94.179,0.9913,35.21,1
25,47.5362,93.968,0.9982,35.93,1
26,49.3228,122.750,0.9538,13.25,1
27,51.0882,80.081,0.9972,35.79,1
28,54.6402,90.735,0.9978,35.41,1
29,56.4162,89.174,0.9507,24.46,1
30,58.1708,90.692,0.9987,34.79,1
31,59.9468,90.675,0.9989,35.31,1
32,61.6908,79.968,0.9968,35.55,1
33,63.4668,80.059,0.9964,35.64,1
34,65.2322,692.484,0.9369,4.56,0
35,67.0082,601.948,0.9517,3.21,0
36,68.7628,80.129,0.9922,34.84,1
37,70.5388,79.915,0.9980,34.31,1
38,72.2935,90.584,0.9985,35.03,1
39,74.0695,79.839,0.9959,34.82,1
40,75.8455,69.256,0.9965,35.54,1
41,77.6215,79.777,0.9961,34.77,1
42,79.3868,80.000,0.9957,34.56,1
43,81.1415,79.999,0.9960,34.87,1
44,82.9175,79.827,0.9956,35.29,1
45,84.6828,79.879,0.9963,34.88,1
46,86.4375,79.770,0.9961,35.03,1
47,88.2028,79.773,0.9963,34.57,1
48,89.9575,79.866,0.9897,35.08,1
49,91.7228,79.815,0.9954,35.08,1
50,93.4882,79.886,0.9939,35.52,1
51,95.2535,69.628,0.9928,33.24,1
52,97.0082,79.703,0.9974,34.50,1
53,98.7522,79.793,0.9961,35.17,1
54,100.5388,79.843,0.9943,35.25,1
55,102.3148,79.778,0.9964,34.85,1
56,104.0908,79.920,0.9959,35.04,1
