burst,t_ref_s,latency_ms,corr_peak,quality_db,kept
1,1.4077,695.433,0.9532,-9.80,0
2,2.9383,85.833,0.9964,21.92,1
3,4.4797,85.839,0.9967,21.96,1
4,6.0210,75.296,0.9987,22.13,1
5,7.5623,75.246,0.9983,21.13,1
6,13.7063,364.741,0.9402,-12.73,0
7,15.2477,231.622,0.9511,-6.27,0
8,18.2983,85.777,0.9945,21.62,1
9,19.8397,85.713,0.9953,22.17,1
10,24.4317,85.706,0.9979,22.45,1
11,25.9623,322.054,0.9552,-12.15,0
12,33.6477,199.753,0.9456,-7.36,0
13,35.1677,75.050,0.9952,21.58,1
14,36.6983,75.050,0.9938,21.53,1
15,38.2610,85.617,0.9959,21.05,1
16,39.8023,85.711,0.9978,21.24,1
17,41.3437,85.682,0.9972,21.09,1
18,42.8850,466.259,0.9366,-12.23,0
19,47.4877,72.920,0.9987,21.41,1
20,49.0290,73.047,0.9936,20.62,1
21,55.2050,327.548,0.9506,-8.88,0
22,56.7677,72.817,0.9960,21.56,1
23,58.2770,72.953,0.9971,21.61,1
24,62.8797,706.223,0.9548,-8.05,0
25,64.3997,83.561,0.9974,21.59,1
26,65.9410,72.810,0.9950,21.51,1
27,67.4823,72.889,0.9973,22.03,1
28,69.0130,72.856,0.9967,21.91,1
29,70.5543,83.496,0.9964,22.29,1
30,72.0957,72.919,0.9987,22.46,1
31,73.6370,72.928,0.9928,20.85,1
32,75.1570,174.676,0.9503,-9.08,0
33,76.6983,327.479,0.9595,-10.84,0
34,78.2290,72.728,0.9976,22.02,1
35,79.7490,72.762,0.9957,22.03,1
36,81.3117,72.804,0.9954,21.40,1
37,82.8637,72.779,0.9957,21.97,1
38,84.3837,72.731,0.9976,21.56,1
39,85.9143,210.269,0.9359,-8.49,0
40,87.4450,556.959,0.9305,-8.30,0
41,88.9757,72.797,0.9926,21.05,1
42,90.5063,72.663,0.9974,22.12,1
