burst,t_ref_s,latency_ms,corr_peak,quality_db,kept
1,1.4087,73.375,0.9957,22.88,1
2,2.9287,73.304,0.9956,22.56,1
3,6.0114,73.314,0.9952,21.74,1
4,7.5314,73.369,0.9945,22.44,1
5,10.6034,73.259,0.9960,21.92,1
6,12.1661,73.264,0.9958,22.02,1
7,13.6963,72.855,0.9759,18.63,1
8,15.2274,73.261,0.9960,21.89,1
9,18.2781,73.238,0.9971,22.91,1
10,19.8296,62.914,0.9944,21.39,1
11,21.3821,541.992,0.9256,-14.50,0
12,22.9127,72.613,0.9763,19.72,1
13,24.4541,62.527,0.9969,22.02,1
14,25.9847,72.530,0.9758,19.34,1
15,27.5048,761.332,0.9278,-11.38,0
16,29.0136,62.686,0.9930,21.86,1
17,30.5448,185.480,0.9348,-6.93,0
18,32.0643,62.760,0.9951,23.01,1
19,38.1656,62.772,0.9907,21.73,1
20,41.2061,73.128,0.9973,21.73,1
21,44.2776,62.837,0.9916,22.02,1
22,45.7874,73.262,0.9962,21.56,1
23,47.3069,62.622,0.9938,21.89,1
24,48.8274,62.524,0.9978,22.31,1
25,50.3687,72.565,0.9754,19.28,1
26,51.8888,73.156,0.9979,21.50,1
27,56.4914,73.152,0.9964,22.07,1
28,58.0328,73.130,0.9975,21.73,1
29,59.5847,73.194,0.9974,22.14,1
30,62.6887,62.394,0.9951,22.21,1
31,64.2514,73.061,0.9952,22.05,1
32,65.7816,73.363,0.9918,21.39,1
33,67.3021,73.000,0.9945,21.96,1
34,68.8221,83.674,0.9949,22.27,1
35,70.3741,441.434,0.9429,-9.59,0
36,71.9043,72.717,0.9864,20.64,1
37,76.4861,547.990,0.9310,-8.92,0
38,78.0163,72.665,0.9859,19.88,1
39,79.5261,793.413,0.9607,-8.63,0
40,81.0461,62.307,0.9957,22.35,1
41,82.5661,72.958,0.9960,22.50,1
42,85.6274,72.959,0.9956,22.09,1
43,87.1688,73.107,0.9940,21.00,1
44,88.7207,73.002,0.9901,21.45,1
45,90.2408,72.879,0.9970,22.33,1
