burst,t_ref_s,latency_ms,corr_peak,quality_db,kept
1,1.5842,150.852,0.9937,34.95,1
2,3.3495,140.309,0.9986,35.00,1
3,5.1255,140.254,0.9972,34.46,1
4,6.8908,140.130,0.9962,35.02,1
5,8.6242,140.187,0.9956,35.09,1
6,10.3895,140.172,0.9952,36.01,1
7,12.1762,140.054,0.9976,34.92,1
8,13.9519,342.730,0.9387,1.84,0
9,17.4935,199.626,0.9987,35.25,1
10,19.2482,192.181,0.9957,34.97,1
11,21.0135,182.104,0.9978,34.67,1
12,22.7895,160.834,0.9945,35.26,1
13,24.5655,213.030,0.9973,34.69,1
14,26.3308,283.616,0.9336,11.80,1
15,28.1068,182.076,0.9971,34.53,1
16,29.8722,190.342,0.9981,35.34,1
17,31.6482,180.424,0.9957,34.85,1
18,33.4135,165.725,0.9978,35.32,1
19,35.1682,165.831,0.9955,35.90,1
20,36.9442,165.643,0.9988,35.07,1
21,38.6988,155.059,0.9978,35.17,1
22,40.4642,165.719,0.9986,35.49,1
23,42.2402,165.732,0.9964,36.43,1
24,44.0162,165.859,0.9913,35.21,1
25,47.5362,165.648,0.9982,35.93,1
26,49.3228,194.429,0.9538,13.25,1
27,51.0882,151.761,0.9972,35.79,1
28,54.6402,162.415,0.9978,35.41,1
29,56.4162,160.854,0.9507,24.46,1
30,58.1708,162.372,0.9987,34.79,1
31,59.9468,162.355,0.9989,35.31,1
32,61.6908,151.648,0.9968,35.55,1
33,63.4668,151.739,0.9964,35.64,1
34,65.2322,764.164,0.9369,4.56,0
35,67.0082,673.628,0.9517,3.21,0
36,68.7628,151.809,0.9922,34.84,1
37,70.5388,151.595,0.9980,34.31,1
38,72.2935,162.263,0.9985,35.03,1
39,74.0695,151.519,0.9959,34.82,1
40,75.8455,140.936,0.9965,35.54,1
41,77.6215,151.457,0.9961,34.77,1
42,79.3868,151.680,0.9957,34.56,1
43,81.1415,151.679,0.9960,34.87,1
44,82.9175,151.506,0.9956,35.29,1
45,84.6828,151.558,0.9963,34.88,1
46,86.4375,151.449,0.9961,35.03,1
47,88.2028,151.452,0.9963,34.57,1
48,89.9575,151.546,0.9897,35.08,1
49,91.7228,151.495,0.9954,35.08,1
50,93.4882,151.565,0.9939,35.52,1
51,95.2535,141.307,0.9928,33.24,1
52,97.0082,151.382,0.9974,34.50,1
53,98.7522,151.472,0.9961,35.17,1
54,100.5388,151.523,0.9943,35.25,1
55,102.3148,151.457,0.9964,34.85,1
56,104.0908,151.599,0.9959,35.04,1
