burst,t_ref_s,latency_ms,corr_peak,quality_db,kept
1,1.6083,162.054,0.9976,34.11,1
2,3.3950,151.471,0.9940,34.11,1
3,5.1603,151.283,0.9962,34.16,1
4,6.9150,151.375,0.9978,34.72,1
5,10.4350,151.276,0.9983,34.48,1
6,12.1790,151.265,0.9982,34.63,1
7,13.9337,151.352,0.9975,34.73,1
8,17.4110,151.301,0.9981,34.84,1
9,19.1763,151.335,0.9986,34.14,1
10,22.6857,151.274,0.9979,34.69,1
11,24.4617,151.203,0.9962,34.39,1
12,26.2377,151.351,0.9941,34.07,1
13,28.0030,151.326,0.9960,35.05,1
14,29.7683,771.947,0.9352,5.48,0
15,31.5337,151.266,0.9958,34.52,1
16,35.0430,151.244,0.9971,34.64,1
17,36.7977,151.246,0.9964,34.33,1
18,38.5630,151.172,0.9950,33.91,1
19,40.3070,151.305,0.9966,34.51,1
20,42.0617,274.832,0.9271,0.05,0
21,45.5923,478.742,0.9538,-0.89,0
22,47.3577,148.694,0.9968,34.69,1
23,49.1230,148.654,0.9984,34.85,1
24,50.8670,148.618,0.9983,34.58,1
25,52.6430,148.676,0.9990,34.39,1
26,54.3977,146.129,0.9968,34.60,1
27,56.1523,146.097,0.9972,34.69,1
28,57.8963,146.182,0.9939,33.73,1
29,59.6723,146.150,0.9942,33.90,1
30,61.4483,143.637,0.9968,34.18,1
31,63.2030,143.507,0.9950,34.65,1
32,64.9470,143.469,0.9949,33.98,1
33,66.6910,143.531,0.9945,33.88,1
34,68.4457,140.982,0.9972,33.76,1
35,70.2110,151.490,0.9948,34.46,1
36,71.9550,140.857,0.9954,34.39,1
37,73.7203,140.966,0.9964,34.35,1
38,75.4857,140.917,0.9973,34.37,1
39,77.2403,382.612,0.9351,3.42,0
40,78.9950,140.919,0.9974,33.75,1
41,80.7603,140.860,0.9960,34.52,1
42,82.5150,140.906,0.9972,34.53,1
43,84.2590,140.877,0.9939,33.97,1
44,86.0030,140.787,0.9956,33.68,1
45,87.7790,140.868,0.9954,34.24,1
46,89.5230,140.968,0.9947,33.41,1
47,91.2670,140.905,0.9961,34.37,1
48,94.7763,183.436,0.9046,11.82,1
49,98.2857,140.925,0.9929,33.61,1
50,100.0510,140.781,0.9963,34.25,1
51,101.8057,926.388,0.9529,2.31,0
52,103.5817,140.771,0.9959,34.03,1
